date,season,matchday,goalkeeper,penaltytaker,homegame,result,minute,goaldiff,gkclub,ptclub,gkage,ptage,gkexp,ptexp
-1874.0,64/65,11.0,"Bernard, Günter","Herrmann, Günter",2.0,Tor,43.0,1.0,SV Werder Bremen,FC Schalke 04,25.0,25.0,1.0,2.0
-1874.0,64/65,11.0,"Manglitz, Manfred","Kurrat, Hoppy",1.0,Pfosten,54.0,0.0,Meidericher SV,Borussia Dortmund,24.0,22.0,2.0,3.0
-1860.0,64/65,13.0,"Strich, Horst-Dieter","Ulsaß, Lothar",1.0,Tor,11.0,0.0,1.FC Kaiserslautern,Eintracht Braunschweig,23.0,24.0,1.0,2.0
-1860.0,64/65,13.0,"Radenkovic, Petar","Herrmann, Günter",1.0,gehalten,70.0,-1.0,TSV 1860 München,FC Schalke 04,30.0,25.0,2.0,2.0
-1853.0,64/65,14.0,"Tilkowski, Hans","Höttges, Horst-Dieter",2.0,Tor,37.0,1.0,Borussia Dortmund,SV Werder Bremen,29.0,21.0,3.0,0.0
-1853.0,64/65,14.0,"Toth, Gyula","Nolden, Ludwig",1.0,Tor,58.0,1.0,FC Schalke 04,Meidericher SV,23.0,29.0,0.0,3.0
-1853.0,64/65,14.0,"Toth, Gyula","Nolden, Ludwig",1.0,Tor,67.0,0.0,FC Schalke 04,Meidericher SV,23.0,29.0,0.0,3.0
-1846.0,64/65,15.0,"Kirsch, Horst","Höller, Dieter",1.0,Tor,40.0,0.0,Borussia Neunkirchen,VfB Stuttgart,25.0,25.0,0.0,2.0
-1846.0,64/65,15.0,"Schnarr, Wolfgang","Huberts, Wilhelm",2.0,Tor,84.0,0.0,1.FC Kaiserslautern,Eintracht Frankfurt,23.0,26.0,1.0,1.0
-1846.0,64/65,15.0,"Tilkowski, Hans","Sturm, Hans",1.0,Tor,55.0,-1.0,Borussia Dortmund,1.FC Köln,29.0,29.0,3.0,3.0
-1839.0,64/65,16.0,"Schnoor1, Horst","Höller, Dieter",1.0,Tor,90.0,3.0,Hamburger SV,VfB Stuttgart,30.0,25.0,3.0,2.0
-1839.0,64/65,16.0,"Radenkovic, Petar","Ulsaß, Lothar",2.0,gehalten,32.0,0.0,TSV 1860 München,Eintracht Braunschweig,30.0,24.0,2.0,2.0
